Date ->,03/24/26,CUSIP,SECURITY TYPE,RATE,MATURITY DATE,CALL DATE,BUY,SELL,END OF DAY,,Type,Buy yield,Sell yield,EOD yield,Bid/ask yield spread,Bid/ask price spread
,,912797RF6,MARKET BASED BILL,0.000%,07/09/26,,98.930000,98.927028,0.000000,,BILL,3.689%,3.700%,,0.010%,0.0030%
,,912797UP0,MARKET BASED BILL,0.000%,07/14/26,,98.875333,98.873778,0.000000,,BILL,3.707%,3.712%,,0.005%,0.0016%
,,912797TN7,MARKET BASED BILL,0.000%,07/16/26,,98.860000,98.856833,0.000000,,BILL,3.692%,3.702%,,0.010%,0.0032%
,,912797UQ8,MARKET BASED BILL,0.000%,07/21/26,,98.801736,98.800083,0.000000,,BILL,3.720%,3.725%,,0.005%,0.0017%
,,912797TP2,MARKET BASED BILL,0.000%,07/23/26,,98.790000,98.786639,0.000000,,BILL,3.695%,3.705%,,0.010%,0.0034%
,,912797TQ0,MARKET BASED BILL,0.000%,07/30/26,,98.718222,98.712889,0.000000,,BILL,3.703%,3.718%,,0.016%,0.0054%
,,912797RG4,MARKET BASED BILL,0.000%,08/06/26,,98.646250,98.642500,0.000000,,BILL,3.710%,3.721%,,0.010%,0.0038%
,,912797TW7,MARKET BASED BILL,0.000%,08/13/26,,98.576056,98.572111,0.000000,,BILL,3.713%,3.723%,,0.010%,0.0040%
,,912797TX5,MARKET BASED BILL,0.000%,08/20/26,,98.505861,98.501722,0.000000,,BILL,3.716%,3.726%,,0.010%,0.0042%
,,912797TY3,MARKET BASED BILL,0.000%,08/27/26,,98.437833,98.435667,0.000000,,BILL,3.713%,3.718%,,0.005%,0.0022%
,,912797RS8,MARKET BASED BILL,0.000%,09/03/26,,98.367736,98.365472,0.000000,,BILL,3.716%,3.721%,,0.005%,0.0023%
,,912797UF2,MARKET BASED BILL,0.000%,09/10/26,,98.295278,98.290556,0.000000,,BILL,3.724%,3.734%,,0.010%,0.0048%
,,912797UG0,MARKET BASED BILL,0.000%,09/17/26,,98.222625,98.220167,0.000000,,BILL,3.732%,3.737%,,0.005%,0.0025%
,,912797SA6,MARKET BASED BILL,0.000%,10/01/26,,98.092653,98.084694,0.000000,,BILL,3.724%,3.739%,,0.016%,0.0081%
,,912797SK4,MARKET BASED BILL,0.000%,10/29/26,,97.816083,97.803917,0.000000,,BILL,3.721%,3.742%,,0.021%,0.0124%
,,912797SU2,MARKET BASED BILL,0.000%,11/27/26,,97.520000,97.506222,0.000000,,BILL,3.745%,3.766%,,0.021%,0.0141%
,,912797TC1,MARKET BASED BILL,0.000%,12/24/26,,97.250000,97.234722,0.000000,,BILL,3.739%,3.760%,,0.021%,0.0157%
,,912797TM9,MARKET BASED BILL,0.000%,01/21/27,,97.024708,97.020500,0.000000,,BILL,3.678%,3.683%,,0.005%,0.0043%
,,912797TV9,MARKET BASED BILL,0.000%,02/18/27,,96.680806,96.671611,0.000000,,BILL,3.760%,3.771%,,0.011%,0.0095%
,,912797UD7,MARKET BASED BILL,0.000%,03/18/27,,96.400028,96.390056,0.000000,,BILL,3.762%,3.773%,,0.011%,0.0103%
,,9128286L9,MARKET BASED NOTE,2.250%,03/31/26,,0.000000,99.968750,0.000000,,NOTE,,3.835%,,,
,,91282CBT7,MARKET BASED NOTE,0.750%,03/31/26,,0.000000,99.937500,0.000000,,NOTE,,3.988%,,,
,,91282CKH3,MARKET BASED NOTE,4.500%,03/31/26,,0.000000,100.000000,0.000000,,NOTE,,4.405%,,,
,,91282CGV7,MARKET BASED NOTE,3.750%,04/15/26,,0.000000,100.000000,0.000000,,NOTE,,3.689%,,,
,,91282CBW0,MARKET BASED NOTE,0.750%,04/30/26,,0.000000,99.687500,0.000000,,NOTE,,3.825%,,,
,,9128286S4,MARKET BASED NOTE,2.375%,04/30/26,,0.000000,99.875000,0.000000,,NOTE,,3.575%,,,
,,91282CKK6,MARKET BASED NOTE,4.875%,04/30/26,,0.000000,100.093750,0.000000,,NOTE,,3.874%,,,
,,91282CHB0,MARKET BASED NOTE,3.625%,05/15/26,,0.000000,99.968750,0.000000,,NOTE,,3.795%,,,
,,912828R36,MARKET BASED NOTE,1.625%,05/15/26,,0.000000,99.687500,0.000000,,NOTE,,3.790%,,,
,,9128286X3,MARKET BASED NOTE,2.125%,05/31/26,,0.000000,99.687500,0.000000,,NOTE,,3.784%,,,
,,91282CCF6,MARKET BASED NOTE,0.750%,05/31/26,,0.000000,99.437500,0.000000,,NOTE,,3.773%,,,
,,91282CKS9,MARKET BASED NOTE,4.875%,05/31/26,,0.000000,100.187500,0.000000,,NOTE,,3.806%,,,
,,91282CHH7,MARKET BASED NOTE,4.125%,06/15/26,,0.000000,100.093750,0.000000,,NOTE,,3.669%,,,
,,91282CKY6,MARKET BASED NOTE,4.625%,06/30/26,,0.000000,100.218750,0.000000,,NOTE,,3.764%,,,
,,91282CCJ8,MARKET BASED NOTE,0.875%,06/30/26,,0.000000,99.250000,0.000000,,NOTE,,3.681%,,,
,,9128287B0,MARKET BASED NOTE,1.875%,06/30/26,,0.000000,99.500000,0.000000,,NOTE,,3.735%,,,
,,91282CHM6,MARKET BASED NOTE,4.500%,07/15/26,,0.000000,100.218750,0.000000,,NOTE,,3.759%,,,
,,91282CLB5,MARKET BASED NOTE,4.375%,07/31/26,,0.000000,100.218750,0.000000,,NOTE,,3.730%,,,
,,912828Y95,MARKET BASED NOTE,1.875%,07/31/26,,0.000000,99.343750,0.000000,,NOTE,,3.731%,,,
,,91282CCP4,MARKET BASED NOTE,0.625%,07/31/26,,0.000000,98.906250,0.000000,,NOTE,,3.732%,,,
,,9128282A7,MARKET BASED NOTE,1.500%,08/15/26,,0.000000,99.093750,0.000000,,NOTE,,3.807%,,,
,,91282CHU8,MARKET BASED NOTE,4.375%,08/15/26,,0.000000,100.218750,0.000000,,NOTE,,3.800%,,,
,,91282CLH2,MARKET BASED NOTE,3.750%,08/31/26,,0.000000,99.968750,0.000000,,NOTE,,3.814%,,,
,,912828YD6,MARKET BASED NOTE,1.375%,08/31/26,,0.000000,98.968750,0.000000,,NOTE,,3.782%,,,
,,91282CCW9,MARKET BASED NOTE,0.750%,08/31/26,,0.000000,98.687500,0.000000,,NOTE,,3.817%,,,
,,91282CHY0,MARKET BASED NOTE,4.625%,09/15/26,,0.000000,100.406250,0.000000,,NOTE,,3.751%,,,
,,91282CLP4,MARKET BASED NOTE,3.500%,09/30/26,,99.859375,99.843750,0.000000,,NOTE,3.776%,3.807%,,0.031%,0.0156%
,,91282CCZ2,MARKET BASED NOTE,0.875%,09/30/26,,98.531250,98.500000,0.000000,,NOTE,3.773%,3.835%,,0.063%,0.0317%
,,912828YG9,MARKET BASED NOTE,1.625%,09/30/26,,98.921875,98.906250,0.000000,,NOTE,3.751%,3.783%,,0.031%,0.0158%
,,91282CJC6,MARKET BASED NOTE,4.625%,10/15/26,,100.468750,100.437500,0.000000,,NOTE,3.768%,3.824%,,0.057%,0.0311%
,,91282CLS8,MARKET BASED NOTE,4.125%,10/31/26,,100.171875,100.156250,0.000000,,NOTE,3.828%,3.855%,,0.026%,0.0156%
,,912828YQ7,MARKET BASED NOTE,1.625%,10/31/26,,98.718750,98.687500,0.000000,,NOTE,3.795%,3.849%,,0.054%,0.0317%
,,91282CDG3,MARKET BASED NOTE,1.125%,10/31/26,,98.421875,98.406250,0.000000,,NOTE,3.799%,3.826%,,0.027%,0.0159%
,,912828U24,MARKET BASED NOTE,2.000%,11/15/26,,98.875000,98.843750,0.000000,,NOTE,3.783%,3.833%,,0.050%,0.0316%
,,91282CJK8,MARKET BASED NOTE,4.625%,11/15/26,,100.500000,100.468750,0.000000,,NOTE,3.824%,3.873%,,0.049%,0.0311%
,,91282CLY5,MARKET BASED NOTE,4.250%,11/30/26,,100.296875,100.281250,0.000000,,NOTE,3.800%,3.823%,,0.023%,0.0156%
,,912828YU8,MARKET BASED NOTE,1.625%,11/30/26,,98.546875,98.531250,0.000000,,NOTE,3.791%,3.815%,,0.024%,0.0159%
,,91282CDK4,MARKET BASED NOTE,1.250%,11/30/26,,98.281250,98.250000,0.000000,,NOTE,3.814%,3.861%,,0.047%,0.0318%
,,91282CJP7,MARKET BASED NOTE,4.375%,12/15/26,,100.406250,100.375000,0.000000,,NOTE,3.797%,3.840%,,0.044%,0.0311%
